,location,bhk,total_sqft,bath,price,encoded_loc
0,Electronic City Phase II,2,1056.0,2.0,39.07,75
1,Chikka Tirupathi,4,2600.0,5.0,120.0,57
2,Uttarahalli,3,1440.0,2.0,62.0,218
3,Lingadheeranahalli,3,1521.0,3.0,95.0,155
4,Kothanur,2,1200.0,2.0,51.0,147
5,Whitefield,2,1170.0,2.0,38.0,226
6,Old Airport Road,4,2732.0,4.0,204.0,177
7,Marathahalli,3,1310.0,3.0,63.25,162
8,Whitefield,3,1800.0,2.0,70.0,226
9,7th Phase JP Nagar,2,1000.0,2.0,38.0,6
10,Gottigere,2,1100.0,2.0,40.0,82
11,Sarjapur,3,2250.0,3.0,148.0,195
12,Mysore Road,2,1175.0,2.0,73.5,167
13,Bisuvanahalli,3,1180.0,3.0,48.0,46
14,Raja Rajeshwari Nagar,3,1540.0,3.0,60.0,186
15,others,2,1100.0,2.0,48.0,232
16,Binny Pete,3,1755.0,3.0,122.0,45
17,Bellandur,3,1767.0,3.0,103.0,40
18,Thanisandra,1,510.0,1.0,25.25,211
19,others,3,1250.0,3.0,56.0,232
20,Electronic City,2,660.0,1.0,23.1,74
21,Whitefield,3,1610.0,3.0,81.0,226
22,Ramagondanahalli,2,1151.0,2.0,48.77,189
23,Electronic City,3,1025.0,2.0,47.0,74
24,Bisuvanahalli,3,1075.0,2.0,35.0,46
25,Hebbal,3,1760.0,2.0,123.0,92
26,Raja Rajeshwari Nagar,3,1693.0,3.0,57.39,186
27,Kasturi Nagar,3,1925.0,3.0,125.0,132
28,Kanakpura Road,2,700.0,2.0,36.0,128
29,Electronics City Phase 1,2,1070.0,2.0,45.5,76
30,Kundalahalli,3,1724.0,3.0,125.0,151
31,Chikkalasandra,3,1290.0,2.0,56.12,59
32,Uttarahalli,2,1143.0,2.0,45.0,218
33,Murugeshpalya,2,1296.0,2.0,81.0,166
34,Sarjapur  Road,3,1254.0,3.0,38.0,196
35,others,1,600.0,1.0,38.0,232
36,Yelahanka,1,660.0,1.0,48.0,228
37,Kanakpura Road,2,1330.74,2.0,91.79,128
38,Doddathoguru,2,970.0,2.0,33.0,70
39,Whitefield,2,1459.0,2.0,94.82,226
40,others,2,869.0,2.0,36.0,232
41,others,2,1270.0,2.0,50.0,232
42,Bhoganhalli,3,1670.0,3.0,99.0,43
43,Whitefield,3,2010.0,3.0,91.0,226
44,Lakshminarayana Pura,2,1185.0,2.0,75.0,154
45,Yelahanka,3,1600.0,2.0,75.0,228
46,Begur Road,2,1200.0,2.0,44.0,39
47,others,2,840.0,2.0,45.0,232
48,others,3,4395.0,3.0,240.0,232
49,others,2,845.0,2.0,55.0,232
50,Varthur,2,1160.0,2.0,44.0,219
51,Doddathoguru,2,1100.0,2.0,62.0,70
52,Gunjur,2,1140.0,2.0,43.0,85
53,Marathahalli,2,1220.0,2.0,57.0,162
54,Kanakpura Road,2,1005.0,2.0,36.68,128
55,Begur Road,2,1358.0,2.0,80.58,39
56,Hegde Nagar,3,1569.0,3.0,101.0,94
57,Haralur Road,2,1240.0,2.0,70.0,90
58,Hennur Road,3,2089.0,3.0,140.0,96
59,Kothannur,2,1206.0,2.0,48.23,146
60,Kalena Agrahara,2,1150.0,2.0,40.0,122
61,others,3,2511.0,3.0,205.0,232
62,ISRO Layout,6,4400.0,6.0,250.0,106
63,others,3,1660.0,2.0,105.0,232
64,Yelahanka,2,1326.0,2.0,78.0,228
65,Garudachar Palya,3,1325.0,2.0,60.8,79
66,Hegde Nagar,6,3000.0,7.0,210.0,94
67,Kanakpura Road,3,1665.0,3.0,88.0,128
68,Dasanapura,2,708.0,2.0,37.0,63
69,Kasavanhalli,2,1060.0,2.0,58.06,131
70,Sanjay nagar,2,1000.0,2.0,70.0,193
71,Electronic City,2,1000.0,2.0,28.88,74
72,others,3,1450.0,2.0,70.0,232
73,Thanisandra,2,1296.0,2.0,80.0,211
74,Domlur,3,1540.0,3.0,90.0,71
75,Sarjapura - Attibele Road,3,1330.0,2.0,48.0,197
76,others,2,1200.0,2.0,65.0,232
77,others,3,1200.0,3.0,90.0,232
78,Yeshwanthpur,3,2502.0,3.0,138.0,231
79,Kothanur,3,2400.0,2.0,150.0,147
80,others,2,1007.0,2.0,43.0,232
81,others,2,1200.0,2.0,50.0,232
82,others,2,966.0,2.0,49.9,232
83,Nagarbhavi,3,1630.0,2.0,98.0,170
84,others,2,782.0,2.0,55.68,232
85,Devanahalli,2,1260.0,2.0,66.78,65
86,others,3,1800.0,3.0,120.0,232
87,others,3,1413.0,2.0,75.0,232
88,Whitefield,2,1116.0,2.0,51.91,226
89,Electronic City,3,1530.0,2.0,45.9,74
90,Ramamurthy Nagar,4,3700.0,4.0,225.0,190
91,Sarjapur  Road,3,2497.0,3.0,140.0,196
92,Kengeri,3,1540.0,2.0,64.0,136
93,Thanisandra,3,1436.0,3.0,74.75,211
94,Malleshwaram,2,1100.0,2.0,75.0,161
95,Shampura,4,2650.0,4.0,150.0,201
96,Devanahalli,3,1282.0,2.0,68.52,65
97,Kadugodi,2,1050.0,2.0,34.0,118
98,LB Shastri Nagar,3,1600.0,3.0,65.0,152
99,others,2,945.0,2.0,54.0,232
100,Hormavu,2,1500.0,2.0,78.0,100
101,others,3,1870.0,3.0,110.0,232
102,Sarjapur,3,1600.0,3.0,75.0,195
103,Kudlu Gate,3,1535.0,3.0,83.0,149
104,Kanakpura Road,2,950.0,2.0,57.0,128
105,Devanahalli,2,1360.0,2.0,65.0,65
106,8th Phase JP Nagar,2,1564.9842423276207,2.0,54.005,7
107,Bommasandra Industrial Area,3,1280.0,3.0,50.4,49
108,others,3,1260.0,2.0,85.05,232
109,Yelahanka,5,3050.0,5.0,213.0,228
110,Kasavanhalli,3,1563.05,3.0,105.0,131
111,ISRO Layout,2,1000.0,2.0,60.0,106
112,Anandapura,2,1167.0,2.0,43.76,15
113,Kothanur,3,1828.0,3.0,110.0,147
114,Kengeri Satellite Town,2,890.0,2.0,35.0,137
115,others,3,1612.0,3.0,46.74,232
116,Mysore Road,3,1710.0,4.0,91.31,167
117,Kannamangala,2,957.0,2.0,58.0,129
118,Devarachikkanahalli,3,1250.0,2.0,44.0,66
119,Hulimavu,2,1125.0,2.0,50.0,105
120,Electronic City Phase II,2,1020.0,2.0,30.6,75
121,Kalena Agrahara,2,1200.0,2.0,50.0,122
122,Thanisandra,3,1735.0,3.0,135.0,211
123,Thanisandra,3,2050.0,3.0,145.0,211
124,others,3,1350.0,2.0,48.0,232
125,Hosa Road,2,1063.0,2.0,32.0,101
126,others,3,1904.0,3.0,150.0,232
127,others,3,1425.0,2.0,75.0,232
128,Electronic City,3,1500.0,2.0,64.5,74
129,Electronic City,2,1060.0,2.0,60.0,74
130,others,3,1470.0,2.0,70.0,232
131,Electronic City,2,1152.0,2.0,64.5,74
132,Electronic City,3,1350.0,2.0,56.0,74
133,CV Raman Nagar,3,1550.0,3.0,65.0,53
134,others,3,1500.0,3.0,100.0,232
135,Nagavara,1,400.0,1.0,14.0,172
136,Electronic City,2,770.0,1.0,36.0,74
137,Hulimavu,2,1242.0,2.0,51.0,105
138,Thanisandra,3,2144.0,3.0,145.0,211
139,Vijayanagar,3,1704.0,3.0,110.0,222
140,Electronic City,2,1070.0,2.0,52.0,74
141,others,2,1340.0,2.0,55.7,232
142,Electronic City,2,1025.0,2.0,46.0,74
143,KR Puram,2,1564.9842423276207,2.0,56.8,116
144,Marathahalli,2,1200.0,2.0,52.0,162
145,Kanakpura Road,4,2250.0,4.0,110.0,128
146,others,3,1550.0,2.0,80.0,232
147,Marathahalli,2,1200.0,2.0,60.0,162
148,Yelahanka,2,1327.0,2.0,98.0,228
149,Kothanur,2,1186.0,2.0,58.0,147
150,others,3,1783.0,3.0,115.0,232
151,HSR Layout,3,1400.0,3.0,56.0,89
152,Nagasandra,2,980.0,2.0,48.0,171
153,EPIP Zone,2,1285.0,2.0,82.0,73
154,others,3,912.0,2.0,70.0,232
155,Whitefield,2,1225.0,2.0,47.6,226
156,Whitefield,2,1075.0,2.0,53.0,226
157,Kadugodi,3,1260.0,2.0,54.0,118
158,Yelahanka,3,1282.0,2.0,48.7,228
159,Kogilu,3,1909.0,3.0,88.0,143
160,Panathur,2,1359.0,2.0,87.0,181
161,others,2,1207.0,2.0,43.5,232
162,Kammasandra,3,1595.0,3.0,65.0,126
163,others,3,1798.0,3.0,89.0,232
164,Electronics City Phase 1,3,1475.0,3.0,78.29,76
165,others,3,1580.0,3.0,100.0,232
166,Dasarahalli,2,1295.0,2.0,65.0,64
167,Magadi Road,6,3600.0,6.0,141.0,156
168,Electronic City,1,589.0,1.0,27.0,74
169,others,3,1415.0,3.0,78.0,232
170,Sarjapur  Road,3,1787.0,3.0,98.29,196
171,Sarjapur  Road,3,1787.0,3.0,125.0,196
172,Koramangala,3,1475.0,2.0,90.0,145
173,others,4,2000.0,4.0,75.5,232
174,Sarjapur  Road,2,984.0,2.0,44.28,196
175,Devanahalli,3,1564.9842423276207,2.0,74.82,65
176,7th Phase JP Nagar,2,1080.0,2.0,72.0,6
177,others,2,1500.0,2.0,115.0,232
178,Hebbal,3,1900.0,3.0,119.0,92
179,Budigere,2,1153.0,2.0,56.4,52
180,others,2,1148.0,2.0,60.0,232
181,others,2,1110.0,2.0,55.0,232
182,Electronic City,2,1100.0,2.0,42.0,74
183,others,3,1500.0,2.0,65.0,232
184,others,2,1080.0,2.0,39.0,232
185,Vijayanagar,3,1933.0,3.0,129.0,222
186,Ramamurthy Nagar,5,3500.0,5.0,150.0,190
187,others,2,1060.0,2.0,60.0,232
188,others,3,1644.0,3.0,84.0,232
189,others,2,1285.0,2.0,72.5,232
190,Electronic City,3,1200.0,3.0,90.0,74
191,Electronic City,2,910.0,2.0,40.0,74
192,Kothanur,3,1577.0,3.0,70.0,147
193,others,3,4050.0,3.0,280.0,232
194,OMBR Layout,3,2420.0,3.0,185.0,176
